id,topics
562808,"[(4, 0.9889173)]"
2432234,"[(0, 0.041730016), (1, 0.041690588), (2, 0.04167964), (3, 0.041700024), (4, 0.041699182), (5, 0.041666795), (6, 0.70813936), (7, 0.04169436)]"
562817,"[(4, 0.98891747)]"
562840,"[(4, 0.9889173)]"
2442588,"[(0, 0.44180706), (3, 0.37333822), (5, 0.1763936)]"
562859,"[(0, 0.21566707), (1, 0.10958687), (3, 0.5519464), (6, 0.11472037)]"
578652,"[(2, 0.12740242), (3, 0.5532011), (4, 0.3104541)]"
2458782,"[(0, 0.51117), (4, 0.39382392), (5, 0.08687849)]"
603049,"[(0, 0.32203418), (3, 0.63210124), (7, 0.035929818)]"
2472517,"[(0, 0.30925348), (1, 0.021004248), (2, 0.413188), (3, 0.17138465), (4, 0.053870015), (6, 0.027559875)]"
603050,"[(2, 0.38520947), (3, 0.2666938), (4, 0.26249436), (7, 0.075782575)]"
603085,"[(2, 0.13960017), (3, 0.37506184), (5, 0.47472402)]"
603232,"[(2, 0.14375798), (3, 0.8458093)]"
2524352,"[(0, 0.7768398), (3, 0.04996562), (5, 0.1635708)]"
2527002,"[(1, 0.49474752), (2, 0.4657289)]"
2532565,"[(0, 0.7852143), (2, 0.13011739), (7, 0.0681961)]"
2551147,"[(1, 0.2944974), (2, 0.47879386), (5, 0.11939532), (6, 0.0834647)]"
628303,"[(0, 0.20819134), (1, 0.10342304), (3, 0.60165197), (6, 0.07878261)]"
634726,"[(0, 0.760554), (5, 0.23028588)]"
2566050,"[(0, 0.16491668), (2, 0.16901332), (3, 0.29764402), (5, 0.36126834)]"
2601487,"[(0, 0.18798237), (1, 0.55543035), (3, 0.24499236)]"
2602519,"[(0, 0.12195686), (2, 0.24316241), (3, 0.17885049), (5, 0.44916773)]"
2604819,"[(0, 0.33060843), (3, 0.35052252), (5, 0.31029278)]"
2612849,"[(0, 0.12738769), (2, 0.25186676), (3, 0.18682353), (5, 0.42696398)]"
2646158,"[(0, 0.013914206), (1, 0.013917927), (2, 0.013901104), (3, 0.01390713), (4, 0.90264463), (5, 0.013895582), (6, 0.013919579), (7, 0.013899831)]"
645404,"[(2, 0.109734826), (3, 0.7010712), (4, 0.119035825), (6, 0.06104684)]"
2648857,"[(3, 0.37608427), (4, 0.22530352), (5, 0.3904845)]"
2653430,"[(0, 0.41669112), (1, 0.55982655)]"
2653478,"[(1, 0.987122)]"
646645,"[(0, 0.2308642), (2, 0.24245797), (3, 0.26735643), (5, 0.25052994)]"
664221,"[(0, 0.29362386), (2, 0.35455635), (3, 0.24169615), (4, 0.10204682)]"
695864,"[(0, 0.43490818), (2, 0.19005421), (3, 0.15025842), (5, 0.17059265), (6, 0.049372364)]"
728122,"[(0, 0.6659869), (5, 0.23784947), (7, 0.08722378)]"
2724710,"[(0, 0.438868), (2, 0.3342169), (5, 0.21888639)]"
728126,"[(0, 0.5201542), (2, 0.11543655), (5, 0.22841667), (7, 0.12840576)]"
2757546,"[(2, 0.22767518), (3, 0.61079985), (5, 0.13649455)]"
733192,"[(0, 0.47766158), (3, 0.19791062), (5, 0.31433415)]"
2789756,"[(0, 0.32128206), (3, 0.6138101), (4, 0.055125274)]"
2794976,"[(0, 0.13473833), (1, 0.03485792), (2, 0.43878385), (5, 0.09160445), (7, 0.2955435)]"
741955,"[(0, 0.4528523), (2, 0.23609278), (5, 0.17680459), (7, 0.12677714)]"
2821355,"[(0, 0.67627156), (3, 0.1837898), (5, 0.13159043)]"
2834148,"[(0, 0.5386992), (2, 0.15329202), (4, 0.06241121), (5, 0.23751977)]"
742040,"[(0, 0.532259), (2, 0.12226451), (5, 0.2008291), (7, 0.13739137)]"
767022,"[(0, 0.24080019), (3, 0.69244015), (6, 0.05806751)]"
2856944,"[(0, 0.037851304), (2, 0.38485387), (3, 0.56883556)]"
2868081,"[(0, 0.22159064), (1, 0.35146248), (7, 0.37877685)]"
767500,"[(0, 0.51119304), (4, 0.39382377), (5, 0.08685568)]"
775458,"[(0, 0.08434401), (3, 0.51925874), (5, 0.33503067), (7, 0.05502756)]"
2881042,"[(2, 0.38615987), (5, 0.5742945)]"
2881064,"[(2, 0.3860963), (5, 0.57435805)]"
2909327,"[(0, 0.068757005), (1, 0.056948517), (2, 0.18180755), (3, 0.5646391), (5, 0.12101496)]"
2939697,"[(0, 0.11610638), (1, 0.80930847), (2, 0.06537881)]"
792974,"[(2, 0.29446104), (3, 0.62384176), (5, 0.07424749)]"
2970176,"[(0, 0.11685564), (1, 0.034090757), (2, 0.40009406), (3, 0.44032407)]"
2970536,"[(0, 0.106636964), (1, 0.03836463), (2, 0.4460249), (3, 0.40018532)]"
824618,"[(1, 0.012261858), (3, 0.7486381), (7, 0.2350861)]"
2989687,"[(0, 0.37588295), (1, 0.5693494), (3, 0.045826603)]"
2989858,"[(0, 0.369674), (1, 0.61691236)]"
2989907,"[(0, 0.2762389), (2, 0.11886227), (3, 0.29347247), (6, 0.28507307)]"
2990012,"[(1, 0.92447114), (6, 0.060511075)]"
2998876,"[(0, 0.03125964), (1, 0.031275302), (2, 0.03130855), (3, 0.7810162), (4, 0.031318843), (5, 0.031319033), (6, 0.031251166), (7, 0.031251293)]"
2998886,"[(0, 0.031255756), (1, 0.03126914), (2, 0.03128834), (3, 0.031338833), (4, 0.7810644), (5, 0.031280246), (6, 0.03125163), (7, 0.031251647)]"
2999248,"[(0, 0.28854677), (1, 0.69218874)]"
2999296,"[(0, 0.4417435), (3, 0.19890599), (6, 0.31465244)]"
