id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
728126,Nice View Room for 2 travellers,3784841,Albert,,Yau Tsim Mong,22.31808,114.1706,Private room,420,28,17,2017-10-08,0.16,4,9,0,
741955,Double bed room for 2 travellers,3784841,Albert,,Yau Tsim Mong,22.31828,114.17047,Private room,396,28,19,2022-02-27,0.17,4,355,4,
742040,Private room for single traveller,3784841,Albert,,Yau Tsim Mong,22.31792,114.17042,Private room,291,28,44,2020-09-06,0.39,4,356,0,
764696,Single bed room with green view,4031260,Jen Ai,,North,22.50294,114.13365,Private room,350,2,40,2021-11-17,0.35,2,354,1,
767022,Hong Kong - Great views/Location!,1853636,Ella,,Southern,22.23025,114.21702,Entire home/apt,7042,90,5,2017-04-16,0.04,1,63,0,
767500,Cozy Double Rm 1 next to Jordan MTR,4048151,Stephen,,Yau Tsim Mong,22.30564,114.17184,Private room,328,1,198,2019-03-24,1.77,5,365,0,
775458,Harbour Front + City Center + Cozy,2007350,Mandy & Henry,,Wan Chai,22.28086,114.17897,Entire home/apt,1349,2,328,2019-10-05,2.88,1,264,0,
792974,STUDIO with ROOF in HEART of SOHO,2172438,Joy,,Central & Western,22.28044,114.15064,Entire home/apt,1024,3,26,2020-08-03,0.24,1,164,0,
824618,浪漫沙滩露营❤转机高铁广深澳门中环旺角,4329021,Sanny,,Tuen Mun,22.37339,113.98763,Entire home/apt,279,30,0,,,1,84,0,
825843,"(25-3), 4 beds girl room 女生房,3 Mins to jordan MTR",4125106,Hostel,,Yau Tsim Mong,22.3072,114.17172,Shared room,129,28,173,2018-05-05,1.68,7,365,0,
825899,"(25-4), 4 beds girl room 女生房,3 Mins to jordan MTR",4125106,Hostel,,Yau Tsim Mong,22.30729,114.17233,Shared room,129,28,132,2018-05-24,1.23,7,365,0,
849316,Causeway Bay Nr Times Sq: Full Apartment,4414395,Mike,,Wan Chai,22.27742,114.18156,Entire home/apt,800,1,83,2022-03-15,0.82,1,183,5,
850531,❤❤SuperHost's Private Bedroom on HK Island @TinHau,4441809,Super Host Gordon :-),,Wan Chai,22.27981,114.19137,Private room,305,2,501,2020-07-05,4.47,1,0,0,
860891,Two Bedroom Apartment W. MID-LEVELS  西區2房單位 *近 MTR,4509858,Akiei,,Central & Western,22.28483,114.14237,Entire home/apt,1174,45,0,,,3,179,0,
860892,Two Bedrooms Apartmt @ W. Mid-Level  西區2房單位 *近 MTR,4509858,Akiei,,Central & Western,22.28294,114.14081,Entire home/apt,1135,60,1,2017-12-01,0.02,3,87,0,
861654,Fab' Quiet 1 B.R near Austin/Jordan MTR,3820308,David,,Yau Tsim Mong,22.30246,114.17543,Entire home/apt,509,30,34,2018-10-31,0.30,6,365,0,
869969,Studio available in Prince Edward,4584648,Ivy,,Kowloon City,22.32514,114.17712,Private room,217,30,2,2015-06-22,0.02,384,364,0,
870046,10 mins to CITY U --------- by MTR,4584648,Ivy,,Yau Tsim Mong,22.31318,114.16845,Entire home/apt,180,30,1,2014-05-29,0.01,384,358,0,
894221,Best room for you near MTR,4584648,Ivy,,Yau Tsim Mong,22.31453,114.16863,Private room,180,30,0,,,384,365,0,
894224,Tsimshatsui Room in Flat Share,4584648,Ivy,,Yau Tsim Mong,22.31006,114.17138,Private room,180,31,1,2013-09-25,0.01,384,364,0,
903169,Nice room available in Yau ma tei(y8b),4584648,Ivy,,Yau Tsim Mong,22.31188,114.17065,Private room,180,29,2,2018-09-30,0.02,384,365,0,
923017,Comfort Home in Prince Edward Mtr 4 beds,4971086,Alice,,Yau Tsim Mong,22.32579,114.16701,Entire home/apt,1036,1,356,2021-03-21,3.28,2,142,1,
944283,2 Bed Rooms heart of Central SOHO( sleeps 3),5100812,Nana,,Central & Western,22.28457,114.15375,Entire home/apt,587,10,67,2022-01-15,0.61,2,260,3,
956857,large Room- Heart of Soho/Central,5100812,Nana,,Central & Western,22.28324,114.15418,Private room,469,45,5,2019-04-15,0.05,2,364,0,
957513,"Hollywood Rd, Spacious and Sunny",5207666,James,,Central & Western,22.28526,114.14737,Entire home/apt,465,6,37,2021-09-05,0.34,1,318,1,
985636,A cozy corner in Causeway Bay,2961152,Lin,,Wan Chai,22.28028,114.18453,Private room,200,28,1,2015-12-02,0.01,12,365,0,
992390,Bright quiet studio in Hong Kong Central district,5181284,Peter,,Central & Western,22.28272,114.15307,Entire home/apt,446,2,152,2021-11-14,1.39,2,90,6,
1008590,6 bed mixed dorm - Urban Pack Hostel,4812035,Urban Pack,,Yau Tsim Mong,22.29796,114.17181,Shared room,115,30,110,2018-11-24,1.01,6,365,0,
1016855,FURNISHED Sheung Wan FLATSHARE,4584648,Ivy,,Central & Western,22.28665,114.15054,Private room,180,30,2,2016-07-03,0.02,384,365,0,
1019390,A room in hip creative Sheung Wan,2014297,Cheryl,,Central & Western,22.28589,114.15149,Private room,600,1,66,2019-05-05,0.61,1,365,0,
1022377,Lovely Quiet Apartment With Rooftop,3905388,Janet,,Islands,22.24152,113.97984,Entire home/apt,654,2,182,2022-02-04,1.83,1,6,16,
1033352,Room in Wan Chai,4584648,Ivy,,Wan Chai,22.27904,114.18033,Private room,180,30,1,2014-01-04,0.01,384,365,0,
1033353,Sai Ying Poon Room in flatshare,4584648,Ivy,,Wan Chai,22.27761,114.17335,Private room,180,31,1,2015-08-03,0.01,384,365,0,
1036146,Seaview  Apt in Discovery Bay,2376514,Sun-Ok,,Islands,22.29549,114.02187,Entire home/apt,1857,90,1,2013-08-04,0.01,7,365,0,
1046393,Wanchai - Room available,4584648,Ivy,,Wan Chai,22.27841,114.17121,Private room,180,30,0,,,384,365,0,
1060831,Duplex Town house at Beach village with Terrace,2376514,Sun-Ok,,Islands,22.29288,114.01123,Entire home/apt,3990,30,5,2017-07-12,0.05,7,365,0,
1072782,Nice and Big room in Fortress Hill,4584648,Ivy,,Eastern,22.28905,114.19639,Private room,180,30,0,,,384,365,0,
1108132,SOHO'S URBAN CHIC DESIGNERS APT,6084316,Lulu,,Central & Western,22.28087,114.15345,Entire home/apt,641,1,442,2022-02-26,4.08,1,349,28,
1127705,"Bright,1100 sqf.convenient location",6187328,Camilla,,Central & Western,22.28406,114.14496,Entire home/apt,900,5,20,2020-04-13,0.19,1,351,0,
1145659,CWB Room,4584648,Ivy,,Wan Chai,22.27655,114.18077,Private room,180,29,0,,,384,0,0,
